codigo_materia,identificacao,ementa,data_apresentacao,situacao_atual,n_emendas,posicao,eh_pl2338
161700,PL 5711/2023,Dispõe sobre a atuação do Tribunal de Contas da União como membro do Conselho de Auditores da Organização das Nações Unidas.,2023-12-19,TRANSFORMADA EM NORMA JURÍDICA,0,86,FALSE
161830,PL 6230/2023,"Altera a Lei nº 9.795, de 27 de abril de 1999, para assegurar atenção às mudanças do clima, à proteção da biodiversidade e aos riscos e vulnerabilidades a desastres socioambientais no âmbito da Política Nacional de Educação Ambiental.",2023-12-22,TRANSFORMADA EM NORMA JURÍDICA,0,87,FALSE
161840,PL 6232/2023,"Acrescenta art. 15-B à Lei nº 10.356, de 27 de dezembro de 2001, para instituir o Adicional de Especialização e Qualificação aos servidores do quadro de pessoal da Secretaria do Tribunal de Contas da União.",2023-12-26,TRANSFORMADA EM NORMA JURÍDICA,0,88,FALSE
161968,PL 1825/2023,Institui a Semana Cultural Interescolar nos estabelecimentos de ensino fundamental e médio.,2024-02-07,TRANSFORMADA EM NORMA JURÍDICA,0,89,FALSE
162018,PL 421/2023,"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), a Lei nº 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), e o Decreto-Lei nº 3.689, de 3 de outubro de 1941 (Código de Processo Penal), para aumentar o prazo decadencial do direito de queixa ou de representação quando se tratar de crime praticado no âmbito de violência doméstica e familiar contra a mulher.",2024-02-08,TRANSFORMADA EM NORMA JURÍDICA,0,90,FALSE
162535,PL 2221/2023,"Altera a Lei nº 8.080, de 19 de setembro de 1990 (Lei Orgânica da Saúde), para dispor sobre o atendimento de mulheres vítimas de violência em ambiente privativo e individualizado nos serviços de saúde prestados no âmbito do Sistema Único de Saúde.",2024-03-12,AGUARDANDO DESIGNAÇÃO DO RELATOR,0,91,FALSE
162644,PL 754/2023,"Altera a Lei nº 4.117, de 27 de agosto de 1962 (Código Brasileiro de Telecomunicações), para dispor sobre a divulgação de canais de atendimento à mulher vítima de violência no programa A Voz do Brasil.",2024-03-14,TRANSFORMADA EM NORMA JURÍDICA,0,92,FALSE
164574,PL 4746/2023,"Altera a Lei nº 11.597, de 29 de novembro de 2007, para possibilitar a organização do Livro dos Heróis e Heroínas da Pátria em subdivisões físicas, como volumes, seções ou tomos.",2024-07-08,TRANSFORMADA EM NORMA JURÍDICA,0,93,FALSE
165769,PL 6212/2023 (Substitutivo-CD),"Altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), para permitir a consulta pública do nome completo e do número de inscrição no Cadastro de Pessoas Físicas (CPF) das pessoas condenadas por crimes contra a dignidade sexual, garantido o sigilo do processo e das informações relativas à vítima, e a Lei nº 14.069, de 1º de outubro de 2020, para determinar a criação do Cadastro Nacional de Pedófilos e Predadores Sexuais.",2024-10-16,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,94,FALSE
166667,PL 315/2023,"Altera a Lei nº 8.934, de 18 de novembro de 1994, que dispõe sobre o Registro Público de Empresas Mercantis e Atividades Afins.",2024-12-11,TRANSFORMADA EM NORMA JURÍDICA,0,95,FALSE
166703,PL 5760/2023,"Estabelece medidas de proteção e acolhimento de trabalhadoras e trabalhadores resgatados de condição análoga à de escravo; vincula o poder público e os empregadores à obrigação de efetivar a proteção de trabalhadores no ambiente doméstico; e altera o Decreto-Lei nº 2.848, de 7 de dezembro de 1940 (Código Penal), as Leis nºs 7.998, de 11 de janeiro de 1990, 10.593, de 6 de dezembro de 2002, e 11.340, de 7 de agosto de 2006 (Lei Maria da Penha), e a Lei Complementar nº 150, de 1º de junho de 2015, para incluir disposições referentes ao combate ao trabalho em condição análoga à de escravo.",2024-12-13,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,96,FALSE
166859,PL 6012/2023 (Substitutivo-CD),"Altera as Leis nºs 13.999, de 18 de maio de 2020, e 12.087, de 11 de novembro de 2009, para assegurar que os recursos do Programa Nacional de Apoio às Microempresas e Empresas de Pequeno Porte (Pronampe) sejam permanentes; e dá outras providências.",2024-12-18,TRANSFORMADA EM NORMA JURÍDICA,0,97,FALSE
167007,PL 1076/2023,Inscreve o nome de Frei Orlando no Livro dos Heróis e Heroínas da Pátria.,2024-12-27,TRANSFORMADA EM NORMA JURÍDICA,0,98,FALSE
167020,PL 3428/2023,"Fixa o limite máximo permitido de chumbo em tintas e em materiais similares de revestimento de superfícies; e revoga a Lei nº 11.762, de 1º de agosto de 2008.",2024-12-30,TRANSFORMADA EM NORMA JURÍDICA,0,99,FALSE
167213,PL 5688/2023,Institui a Política Nacional de Enfrentamento da Infecção por Papilomavírus Humano.,2025-02-14,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,100,FALSE
168510,PL 2578/2023,"Revoga as Leis nºs 3.807, de 26 de agosto de 1960 (Lei Orgânica da Previdência Social), 5.890, de 8 de junho de 1973, e 6.367, de 19 de outubro de 1976, e dispositivos do Decreto-Lei nº 72, de 21 de novembro de 1966.",2025-05-08,TRANSFORMADA EM NORMA JURÍDICA,0,101,FALSE
168528,PL 5178/2023,"Altera a ementa da Lei nº 11.340, de 7 de agosto de 2006, para denominá-la oficialmente Lei Maria da Penha.",2025-05-09,TRANSFORMADA EM NORMA JURÍDICA,0,102,FALSE
170054,PL 2133/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para prever o uso do Sistema de Compras Expressas (Sicx) na contratação de bens e serviços comuns padronizados.",2025-08-25,TRANSFORMADA EM NORMA JURÍDICA,0,103,FALSE
170104,PL 5972/2023,"Altera a Lei nº 14.747, de 5 de dezembro de 2023, para prever a criação de protocolos de atendimento para urgências cardiovasculares no âmbito do Sistema Único de Saúde (SUS), incluídas medidas trombolíticas em Unidade de Pronto Atendimento (UPA).",2025-08-26,TRANSFORMADA EM NORMA JURÍDICA,0,104,FALSE
171134,PL 3824/2023 (Substitutivo-CD),Institui a Política Nacional de Indução à Docência na Educação Básica - Mais Professores para o Brasil.,2025-10-21,TRANSFORMADA EM NORMA JURÍDICA,0,105,FALSE
172299,PL 6113/2023,Cria o Banco Nacional de Boas Práticas na Prevenção e no Combate à Violência contra a Mulher.,2025-12-19,TRANSFORMADA EM NORMA JURÍDICA,0,106,FALSE
172476,PL 5102/2023,"Dispõe sobre a transformação do Centro Federal de Educação Tecnológica de Minas Gerais e do Centro Federal de Educação Tecnológica Celso Suckow da Fonseca, no Rio de Janeiro, em Universidade Tecnológica Federal de Minas Gerais (UTFMG) e em Universidade Tecnológica Federal do Rio de Janeiro (UTFRJ).",2025-12-23,VETADA,0,107,FALSE
174363,PL 780/2023,Denomina Ponte Heitor Miranda dos Santos o trecho brasileiro da ponte sobre o Rio Paraguai na divisa entre a República Federativa do Brasil e a República do Paraguai.,2026-05-27,REMETIDA À SANÇÃO,0,108,FALSE
174878,PL 699/2023 (Substitutivo-CD),Institui o Programa de Desenvolvimento da Indústria de Fertilizantes (Profert); cria o Fundo de Estímulo à Produção Nacional de Fertilizantes (FPNF); estabelece crédito fiscal para a produção de fertilizantes; e dá outras providências.,2026-06-24,TRANSFORMADA EM NORMA JURÍDICA COM VETO PARCIAL,0,109,FALSE
175079,PL 3455/2023 (Substitutivo-CD),"Dispõe sobre a criação da Universidade Federal da Fronteira Norte (Unifron), no Município de Oiapoque, no Estado do Amapá.",2026-07-08,VETADA,0,110,FALSE
